myPosition,raisePosition,reraisePosition,callPosition,hands,color
CO,CO,SB,,"AKs,AQs,AQo,AJs,ATs,A9s,A8s,A5s,A4s,AKo,KQs,KJs,KTs,QQ,QJs,QTs,JJ,JTs,J9s,TT,T9s,99,88,77,76s,66,87s,65s,54s",green
CO,CO,SB,,K9s,blue

CO,CO,BB,,"AA,AKo,",red
CO,CO,BB,,"KK",yellow
CO,CO,BB,,"AKs,AQs,AQo,AJs,ATs,A9s,A8s,A5s,A4s,KQs,KJs,KTs,QQ,QJs,QTs,JJ,JTs,TT,T9s,99,88,77,76s,66,65s",green


BTN,BTN,SB,,"AA,KK",red
BTN,BTN,SB,,"AKs,AKo,QQ,",yellow
BTN,BTN,SB,,"AQs,AJs,ATs,A9s,A8s,A7s,A6s,A5s,A4s,A3s,KQs,KJs,KTs,K9s,AQo,KQo,QJs,QTs,Q9s,AJo,JTs,J9s,JJ,TT,T9s,T8s,99,98s,97s,88,87s,77,76s,66,65s,55,54s,44,33,",green

BTN,BTN,BB,,"AKo,KK",red
BTN,BTN,BB,,"AA,AKs,QQ,JJ,A6s",yellow
BTN,BTN,BB,,"AQs,AJs,ATs,A9s,A8s,A7s,A5s,A4s,A3s,KQs,KJs,KTs,K9s,AQo,KQo,QJs,QTs,Q9s,AJo,KJo,JTs,J9s,TT,T9s,T8s,99,98s,88,87s,77,76s,66,65s,55,54s,44",green


SB,SB,BB,,"AA,AKs,AKo,AQo,AJo,KK,QQ,JJ,A6s,A4s,K5s,K4s",red
SB,SB,BB,,"A7s,A5s,A3s,K6s,KQo,KJo,ATo",yellow
SB,SB,BB,,"AQs,AJs,ATs,A9s,A8s,KQs,KJs,KTs,K9s,K8s,K7s,QJs,QTs,Q9s,Q8s,JTs,J9s,J8s,TT,T9s,T8s,99,98s,97s,88,87s,77,76s,66,65s,55,54s,44,33,22",green
SB,SB,BB,,KJo,blue




HJ,UTG,,,"AA,AKs,KK",red
HJ,UTG,,,"AQs,AJs,ATs,A9s,A5s,A4s,AKo,KQs,KJs,KTs,AQo,QQ,QJs,QTs,JJ,JTs,TT,T9s,99,88,77,65s,54s",yellow
HJ,UTG,,,"A8s",blue


CO,UTG,,,"AA,AKs,KK",red
CO,UTG,,,"AQs,AJs,ATs,A9s,A8s,A5s,A4s,AKo,KQs,KJs,KTs,K9s,AQo,QQ,QJs,QTs,JJ,TT,T9s,65s,54s",yellow
CO,UTG,,,"A7s,KQo,87s,76s",blue
CO,UTG,,,"JTs,99,88,77,66,55",green

"CO","HJ",,,"AA,AKs,A3s,KK",red
"CO","HJ",,,"AQs,ATs,A9s,A8s,A7s,A5s,A4s,AKo,KQs,KJs,KTs,K9s,AQo,KQo,QQ,QJs,QTs,JJ,JTs,TT,T9s,",yellow
"CO","HJ",,,"AJs,99,88,77,66,65s,55,54s",green


"BTN","UTG",,,"AA,AKs,KK",red
"BTN","UTG",,,"AQs,ATs,A7s,A6s,A5s,A4s,A3s,AKo,K9s,KQo,QQ,QJs,J9s,TT,T9s,T8s,87s,76s,65s,54s",yellow
"BTN","UTG",,,"AJs,A9s,A8s,KQs,KJs,KTs,AQo,QTs,JJ,JTs,J9s,99,98s,88,77,66,55,44,33",green

"BTN","HJ",,,"AA,AKs,KK",red
"BTN","HJ",,,"AQs,A7s,A6s,A5s,A3s,A2s,AKo,KJs,K9s,K8s,KQo,QQ,QJs,Q9s,AJo,JJ,J9s,TT,T9s,T8s,87s,76s,65s,54s",yellow
"BTN","HJ",,,"K7s",blue
"BTN","HJ",,,"AJs,ATs,A9s,A8s,A4s,KQs,KJs,KTs,AQo,QTs,JTs,J9s,99,98s,88,77,66,55,44,33,22",green

"BTN","CO",,,"AA,AKs,AKo,KK,QQ",red
"BTN","CO",,,"AQs,A9s,A7s,A6s,A5s,A4s,A3s,A2s,KJs,K9s,K8s,K7s,AQo,KQo,QJs,Q9s,AJo,KJo,JJ,JTs,J9s,ATo,TT,T9s,T8s,99,97s,87s,76s,65s,54s",yellow
"BTN","CO",,,"K5s,Q8s",blue
"BTN","CO",,,"AJs,ATs,A8s,KQs,KTs,QTs,98s,88,77,66,55,44,33,22",green


"SB","UTG",,,"AA,AKs,AQs,KK,KQs,QQ",red
"SB","UTG",,,"AJs,ATs,A5s,A4s,AKo,KJs,KTs,QJs,QTs,JJ,JTs,T9s,65s",yellow
"SB","UTG",,,"A9s,A8s,A7s,K9s,AQo,TT,99,88,77,66,55",green

"SB","HJ",,,"AA,AKs,AQs,A5s,AKo,KK,KQs,QQ,QJs",red
"SB","HJ",,,"AJs,ATs,A4s,A3s,KJs,KTs,AQo,QTs,JJ,JTs,TT,T9s,65s,54s",yellow
"SB","HJ",,,"A9s,A8s,A7s,A6s,K9s,KQo,J9s,99,88,77,66,55,44",green

"SB","CO",,,"AA,AKs,AQs,AJs,A5s,AKo,KK,KQs,KJs,QQ,QJs,JJ",red
"SB","CO",,,"A7s,A4s,KQo,KTs,K9s,AQo,QTs,Q9s,JTs,J9s,TT,T9s,99,88,87s,65s,54s",yellow
"SB","CO",,,"ATs,A9s,A8s,A6s,A3s,AJo,98s,77,66,55,44",green

