myPosition,raisePosition,reraisePosition,callPosition,hands,color
UTG,UTG,BB,HJ,"AKs,AKo,KK,",red
UTG,UTG,BB,HJ,"AA,",yellow
UTG,UTG,BB,HJ,"AQs,KQs,QQ,JJ,KQs,65s,54s",green

HJ,UTG,BB,"HJ,UTG2","QQ",yellow
HJ,UTG,BB,"HJ,UTG2","AQs,AKo,JJ,65s,44,33,22",green


HJ,UTG,BB,HJ,"AQs,AJs,A5s,AKo,KQs,QQ,JJ,T9s,76s,65s,54s",green


#####################################################################
##  CO call ##
UTG,UTG,BTN,CO,"AA,AKs,AKo,KK,",red
UTG,UTG,BTN,CO,"KJs,QQ",yellow
UTG,UTG,BTN,CO,"KQs,A5s",blue
UTG,UTG,BTN,CO,"AQs,JJ,",green


CO,UTG,BTN,"CO,UTG2","AKo,QQ",red
CO,UTG,BTN,"CO,UTG2","AQs,A5s,KJs,JJ,TT,99,88,77,76s,65s,55,54s,44,33,22",green

CO,UTG,BTN,CO,"AKo,QQ",red
CO,UTG,BTN,CO,"AQs,AJs,A5s,KQs,KJs,JJ,TT,99,87s,76s,65s,54s,44,33,22",green


UTG,UTG,SB,CO,"AKs,AKo,KK",red
UTG,UTG,SB,CO,"AA,",yellow
UTG,UTG,SB,CO,"AQs,KQs,QQ,JJ,65s,54s",green

CO,UTG,SB,"CO,UTG2","QQ",red
CO,UTG,SB,"CO,UTG2","AKo",yellow
CO,UTG,SB,"CO,UTG2","AQs,JJ,TT,99,44,33,22",green

CO,UTG,SB,CO,"AQs,AJs,A5s,AKo,KQs,KJs,QQ,JJ,TT,87s,76s,65s,54s",green


UTG,UTG,BB,CO,"AKs,AKo,KK",red
UTG,UTG,BB,CO,"AA,QQ",yellow
UTG,UTG,BB,CO,"AQs,A5s,KQs,JJ,54s",green


CO,UTG,BB,"CO,UTG2","QQ",red
CO,UTG,BB,"CO,UTG2","AKo",yellow
CO,UTG,BB,"CO,UTG2","AQs,JJ,99,77,65s,44,33,22",green

CO,UTG,BB,CO,"AQs,AJs,A5s,AKo,KQs,KJs,QQ,JJ,TT,87s,76s,65s,54s",green


#######################################################################
## BTN call ###
UTG,UTG,SB,BTN,"AKs,AKo,KK,",red
UTG,UTG,SB,BTN,"AA,QQ",yellow
UTG,UTG,SB,BTN,"AQs,AJs,KQs,JJ,TT,65s,54s",green

BTN,UTG,SB,"BTN,UTG2","QQ",red
BTN,UTG,SB,"BTN,UTG2","AKo",yellow
BTN,UTG,SB,"BTN,UTG2","AQs,AJs,JJ,TT,99,88,77,44,22",green

BTN,UTG,SB,BTN,"AQs,AJs,ATs,A5s,AKo,KQs,KJs,QQ,JJ,TT,65s,54s",green


UTG,UTG,BB,BTN,"AKs,AKo,KK,",red
UTG,UTG,BB,BTN,"AA,QQ",yellow
UTG,UTG,BB,BTN,"AQs,AJs,KQs,KJs,JJ,TT,54s",green


BTN,UTG,BB,"BTN,UTG2","QQ",red
BTN,UTG,BB,"BTN,UTG2","AKo",yellow
BTN,UTG,BB,"BTN,UTG2","AQs,JJ,TT,99,88,77,65s,44,33,22",green

BTN,UTG,BB,BTN,"AQs,AJs,ATs,A5s,AKo,KQs,KJs,QQ,QJs,JJ,TT,65s,54s",green

########################################################################
## SB call ##

UTG,UTG,BB,SB,"AKo",red
UTG,UTG,BB,SB,"KK",yellow
UTG,UTG,BB,SB,"AA,AKs,AQs,AJs,ATs,A5s,A4s,KQs,KJs,KTs,QQ,JJ,TT,77,76s,65s,54s",green


SB,UTG,BB,"SB,UTG2","AKo,QQ,",red
SB,UTG,BB,"SB,UTG2","JJ",yellow
SB,UTG,BB,"SB,UTG2","AQs",green

SB,UTG,BB,SB,"AKo,QQ,JJ",red
SB,UTG,BB,SB,"AQs",green


############################
    HJ open
############################
## CO call ##

HJ,HJ,BTN,CO,"AA,AKs,AKo,KK,KQs,KJs,QQ",red
HJ,HJ,BTN,CO,"JJ",yellow
HJ,HJ,BTN,CO,"AQs,TT",green
HJ,HJ,BTN,CO,"AQo",blue

CO,HJ,BTN,"CO,HJ2","AKo,QQ,",red
CO,HJ,BTN,CO,"JJ",yellow
CO,HJ,BTN,CO,"AQs,AJs,A5s,KQs,TT,99,88,77,76s,66,65s,55,54s,44,33,22",green

CO,HJ,BTN,CO,"AKo,QQ,",red
CO,HJ,BTN,CO,"AQs,AJs,ATs,A5s,KQs,KJs,JJ,TT,99,88,77,76s,66,65s,54s,44,33,22",green

HJ,HJ,SB,CO,"AKs,AKo,KK,QQ",red
HJ,HJ,SB,CO,"AA,KJs,",yellow
HJ,HJ,SB,CO,"AQs,AJs,KQs,JJ,54s",green

CO,HJ,SB,"CO,HJ2","AKo,QQ",red
CO,HJ,SB,"CO,HJ2","AQs,JJ,TT,99,88,77,65s,44,33,22",green

CO,HJ,SB,CO,"AQs,AJs,A5s,AKo,KQs,KJs,QQ,JJ,TT,76s,65s,54s",green



HJ,HJ,BB,CO,"AKs,AKo,KK,QQ",red
HJ,HJ,BB,CO,"AA,KJs,A5s,JJ",yellow
HJ,HJ,BB,CO,"AQs,AJs,KQs,",green

CO,HJ,BB,"CO,HJ2","AKo,QQ",red
CO,HJ,BB,"CO,HJ2","AQs,JJ,99,88,77,65s,44,33,22",green

CO,HJ,BB,CO,"AQs,AJs,A5s,AKo,KQs,KJs,QQ,JJ,TT,99,76s,65s,54s,44",green

#################################################
### BTN call ######

HJ,HJ,SB,BTN,"AKs,AKo,QQ",red
HJ,HJ,SB,BTN,"AA,KJs,JJ",yellow
HJ,HJ,SB,BTN,"AQs,AJs,KQs,TT",green

BTN,HJ,SB,"BTN,HJ2","AKo,QQ,",red
BTN,HJ,SB,"BTN,HJ2","JJ",yellow
BTN,HJ,SB,"BTN,HJ2","AQs,AJs,KQs,TT,99,88,77,66,55,44,33,22",green

BTN,HJ,SB,BTN,"AQs,AJs,ATs,A5s,AKo,KQs,KJs,KTs,QQ,QJs,JJ,JTs,TT,99,88,66,65s,54s,",green


HJ,HJ,BB,BTN,"AKs,AKo,KK,QQ",red
HJ,HJ,BB,BTN,"AA,A5s,KJs,JJ",yellow
HJ,HJ,BB,BTN,"AQs,AJs,KQs,TT",green

BTN,HJ,BB,"BTN,HJ2","AKo,QQ,",red
BTN,HJ,BB,"BTN,HJ2","JJ",yellow
BTN,HJ,BB,"BTN,HJ2","AQs,AJs,KQs,TT,99,88,77,66,44,33,22",green

BTN,HJ,BB,BTN,"AQs,AJs,ATs,A5s,AKo,KQs,KJs,KTs,AQo,QQ,QJs,JJ,JTs,TT,99,88.87s,66,65s,54s",green


################################################
### SB call ### 
HJ,HJ,BB,SB,"AKo,",red
HJ,HJ,BB,SB,"AKs,KK,QQ,AQo",yellow
HJ,HJ,BB,SB,"AA,AQs,AJs,ATs,A5s,A3s,KQs,KJs,KTs,QJs,JJ,TT,99,88,77,65s,54s",green

SB,HJ,BB,"SB,HJ2","AKo,JJ",red
SB,HJ,BB,"SB,HJ2","AQs",yellow

SB,HJ,BB,SB,"AKo,JJ",red
SB,HJ,BB,SB,"AQs,",yellow
SB,HJ,BB,SB,"TT",blue


###############################
    CO open
##############################

## BTN call ###

CO,CO,SB,BTN,"AKs,AKo,KK,QQ,JJ",red
CO,CO,SB,BTN,"AA,KJs,AQo,",yellow
CO,CO,SB,BTN,"AQs,AJs,ATs,A5s,KQs,KTs,JTs,TT,99,88",green

BTN,CO,SB,"BTN,CO2","AQs,AKo,QQ,JJ",red
BTN,CO,SB,"BTN,CO2","AJs,ATs,KQs,KJs,AQo,TT,99,88,77,66,55,54s,44,33,22",green

BTN,CO,SB,BTN,"AQs,AJs,ATs,A5s,AKo,KQs,KJs,KTs,AQo,QQ,QJs,JJ,JTs,TT,99,88,76s,66,65s,54s",green


CO,CO,BB,BTN,"AKs,AKo,KK,QQ,JJ",red
CO,CO,BB,BTN,"AA,ATs,AQo,",yellow
CO,CO,BB,BTN,"AQs,AJs,KQs,KJs,KTs,TT,99,88",green

BTN,CO,BB,"BTN,CO2","AQs,AKo,QQ,JJ",red
BTN,CO,BB,"BTN,CO2","AJs,ATs,KQs,KJs,TT,99,88,77,66,55,44,33,22",green

BTN,CO,BB,BTN,"AQs,AJs,ATs,A5s,A4s,KQs,KJs,KTs,AQo,QJs,QTs,JJ,JTS,TT,99,88,76s,66,65s,54s",green

########################################
## SB call ###

CO,CO,BB,SB,"AKo,",red
CO,CO,BB,SB,"KK,QQ,JJ",yellow
CO,CO,BB,SB,"AA,AKs,AQs,AJs,ATs,A5s,A4s,KQs,KJs,KTs,K9s,AQo,QJs,QTs,JTs,TT,T9s,99,88,77,66,",green

SB,CO,BB,"SB,CO2","AQo,TT",red

SB,CO,BB,SB,"AQo,JJ,TT",red


####################################
    BTN open
##################################

BTN,BTN,BB,SB,"AKs,AKo,",red
BTN,BTN,BB,SB,"AQo,QQ,JJ,TT",yellow
BTN,BTN,BB,SB,"AA,AQs,AJs,ATs,A9s,A8s,A7s,A5s,A4s,A3s,KK,KQs,KJs,KTs,K9s,KQo,QJs,QTs,Q9s,AJo,JTs,J9s,T9s,T8s,99,88,77,76s,66,55,44",green

SB,BTN,BB,"SB,BTN2","AQo,TT,99",red
SB,BTN,BB,"SB,BTN2","AJs,KJs,",yellow
SB,BTN,BB,"SB,BTN2","ATs,KQs,KJs,KTs,88,",green

SB,BTN,BB,SB,"AQo,KJs,TT,99,",red
SB,BTN,BB,SB,"AJs,KJs,",yellow
SB,BTN,BB,SB,"ATs,KQs,",green


#############################
オープン リレイズ コールレンジ
############################
## UTG open ################################################
CO,UTG,HJ,,"AA,AKs,AKo,KK,QQ",red
CO,UTG,HJ,,"A5o",blue

BTN,UTG,HJ,,"AA,AKs,AKo,KK,QQ",red
BTN,UTG,HJ,,"A5s",blue

BTN,UTG,CO,,"AA,AKs,AKo,KK,QQ",red

SB,UTG,HJ,,"AA,AKs,AKo,KK,QQ",red
SB,UTG,HJ,,"AQs,A5s",blue

SB,UTG,CO,,"AA,AKs,AKo,KK,QQ",red

SB,UTG,BTN,,"AA,AKs,AKo,KK,QQ",red

BB,UTG,HJ,,"AA,AKs,AKo,KK,QQ",red
BB,UTG,HJ,,"AQs,A5s",blue

BB,UTG,CO,,"AA,AKs,AKo,KK,QQ",red
BB,UTG,CO,,"A5s",blue

BB,UTG,BTN,,"AA,AKs,AQs,AKo,KK,QQ,",red
BB,UTG,BTN,,"A5s",blue

BB,UTG,SB,,"AA,AKs,AKo,KK",red
BB,UTG,SB,,"QQ",blue


### HJ open #################################################

BTN,HJ,CO,,"AA,AKs,AQs,AKo,KK,QQ",red
BTN,HJ,CO,,"A5s,JJ",blue

SB,HJ,CO,,"AA,AKs,AQs,AKo,KK,QQ",red
SB,HJ,CO,,"A5s",blue

BB,HJ,CO,,"AA,AKs,AQs,AKo,KK,QQ",red
BB,HJ,CO,,"A5s,JJ,KQs",blue


SB,HJ,BTN,,"AA,AKs,AQs,AKo,KK,QQ",red
SB,HJ,BTN,,"A5s,KQs,",blue

BB,HJ,BTN,,"AA,AKs,AQs,AKo,KK,KQs,QQ",red
BB,HJ,BTN,,"AJs,A5s,JJ",blue

BB,HJ,SB,,"AA,AKs,AQs,AKo,KK,KQs,QQ",red

################# CO open ###############################

SB,CO,BTN,,"AA,AKs,AQs,AKo,KK,KQs,QQ,JJ",red
SB,CO,BTN,,"AJs,A5s,",blue

BB,CO,BTN,,"AA,AKs,AQs,AJs,AKo,KK,KQs,QQ,JJ",red
BB,CO,BTN,,"ATs,A5s",blue

BB,CO,SB,,"AA,AKs,AQs,AKo,KK,KQs,KJs,QQ,JJ",red
BB,CO,SB,,"AQo",blue

################# BTN open ###############################

BB,BTN,SB,,"AA,AKs,AQs,AJs,AKo,KK,KQs,KJs,AQo,QQ,JJ,TT",red
BB,BTN,SB,,"ATs,KTs",blue
